"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2004";"BS";"G20";"98.633"
"2004";"BS";"G25";"194.067"
"2004";"BL";"S10";"23131.015"
"2004";"BL";"G10";"11280.438"
"2004";"BL";"G15";"7155.875"
"2004";"BL";"G20";"698.022"
"2004";"BL";"G25";"2022.155"
"2004";"SH";"S10";"6031.146"
"2004";"SH";"G10";"2657.84"
"2004";"SH";"G15";"1536.502"
"2004";"SH";"G20";"1204.648"
"2004";"SH";"G25";"271.135"
"2004";"AR";"S10";"3793.183"
"2004";"AR";"G10";"1019.323"
"2004";"AR";"G15";"1630.523"
"2004";"AR";"G20";"251.846"
"2004";"AR";"G25";"781.656"
"2004";"AI";"S10";"1225.413"
"2004";"AI";"G10";"832.499"
"2004";"AI";"G15";"96.28"
"2004";"AI";"G20";"16.882"
"2004";"AI";"G25";"271.116"
"2004";"SG";"S10";"37920.308"
"2004";"SG";"G10";"12360.911"
"2004";"SG";"G15";"7206.775"
"2004";"SG";"G20";"5170.612"
"2004";"SG";"G25";"11865.754"
"2004";"GR";"S10";"19439.318"
"2004";"GR";"G10";"9591.969"
"2004";"GR";"G15";"6261.244"
"2004";"GR";"G20";"183.432"
"2004";"GR";"G25";"2777.143"
"2004";"AG";"S10";"53369.918"
"2004";"AG";"G10";"12607.649"
"2004";"AG";"G15";"11656.373"
"2004";"AG";"G20";"16950.698"
"2004";"AG";"G25";"9835.175"
"2004";"TG";"S10";"21474.956"
"2004";"TG";"G10";"10938.42"
"2004";"TG";"G15";"4410.972"
"2004";"TG";"G20";"219.585"
"2004";"TG";"G25";"5328.012"
"2004";"TI";"S10";"26419.888"
"2004";"TI";"G10";"5080.662"
"2004";"TI";"G15";"11528.976"
"2004";"TI";"G20";"155.706"
"2004";"TI";"G25";"4864.559"
"2004";"VD";"S10";"41068.739"
"2004";"VD";"G10";"15810.711"
"2004";"VD";"G15";"17754.316"
"2004";"VD";"G20";"1073.602"
"2004";"VD";"G25";"3175.522"
"2004";"VS";"S10";"18447.155"
"2004";"VS";"G10";"4757.569"
"2004";"VS";"G15";"7721.024"
"2004";"VS";"G20";"153.643"
"2004";"VS";"G25";"5209.285"
"2004";"NE";"S10";"8426.638"
"2004";"NE";"G10";"3114.809"
"2004";"NE";"G15";"3802.544"
"2004";"NE";"G20";"39.87"
"2004";"NE";"G25";"867.986"
"2004";"GE";"S10";"25216.82"
"2004";"GE";"G10";"6022.74"
"2004";"GE";"G15";"14104.786"
"2004";"GE";"G20";"32.811"
"2004";"GE";"G25";"1387.673"
"2004";"JU";"S10";"4722.411"
"2004";"JU";"G10";"1204.988"
"2004";"JU";"G15";"1458.865"
"2004";"JU";"G20";"568.074"
"2004";"JU";"G25";"1351.244"
"2005";"CHE1";"S10";"618015.142"
"2005";"CHE1";"G10";"210454.191"
"2005";"CHE1";"G15";"214016.332"
"2005";"CHE1";"G20";"66105.971"
"2005";"CHE1";"G25";"83890.122"
"2005";"ZH";"S10";"118518.316"
"2005";"ZH";"G10";"49339.462"
"2005";"ZH";"G15";"48860.184"
"2005";"ZH";"G20";"7991.845"
"2005";"ZH";"G25";"2823.252"
"2005";"BE";"S10";"69641.026"
"2005";"BE";"G10";"12906.183"
"2005";"BE";"G15";"27345.602"
"2005";"BE";"G20";"16742.988"
"2005";"BE";"G25";"6952.577"
"2005";"LU";"S10";"28429.228"
"2005";"LU";"G10";"11470.886"
"2005";"LU";"G15";"7110.677"
"2005";"LU";"G20";"4062.365"
"2005";"LU";"G25";"4677.381"
"2005";"UR";"S10";"2724.827"
"2005";"UR";"G10";"1548.274"
"2005";"UR";"G15";"515.889"
"2005";"UR";"G20";"8.989"
"2005";"UR";"G25";"631.138"
"2005";"SZ";"S10";"14520.078"
"2005";"SZ";"G10";"7947.033"
"2005";"SZ";"G15";"3140.045"
"2005";"SZ";"G20";"1640.548"
"2005";"SZ";"G25";"1533.825"
"2005";"OW";"S10";"3258.739"
"2005";"OW";"G10";"2099.688"
"2005";"OW";"G15";"502.757"
"2005";"OW";"G20";"93.707"
"2005";"OW";"G25";"522.342"
"2005";"NW";"S10";"3786.494"
"2005";"NW";"G10";"1919.605"
"2005";"NW";"G15";"842.235"
"2005";"NW";"G20";"28.147"
"2005";"NW";"G25";"890.128"
"2005";"GL";"S10";"3001.432"
"2005";"GL";"G10";"1816.935"
"2005";"GL";"G15";"605.807"
"2005";"GL";"G20";"325.12"
"2005";"GL";"G25";"228.196"
"2005";"ZG";"S10";"12396.373"
"2005";"ZG";"G10";"6675.031"
"2005";"ZG";"G15";"2879.473"
"2005";"ZG";"G20";"80.738"
"2005";"ZG";"G25";"2314.758"
"2005";"FR";"S10";"18745.138"
"2005";"FR";"G10";"6164.645"
"2005";"FR";"G15";"6178.842"
"2005";"FR";"G20";"1410.626"
"2005";"FR";"G25";"4274.578"
"2005";"SO";"S10";"22995.155"
"2005";"SO";"G10";"2307.701"
"2005";"SO";"G15";"6607.06"
"2005";"SO";"G20";"6056.23"
"2005";"SO";"G25";"6708.865"
"2005";"BS";"S10";"12136.097"
"2005";"BS";"G10";"5205.357"
"2005";"BS";"G15";"4698.712"
"2005";"BS";"G20";"139.167"
"2005";"BS";"G25";"157.74"
"2005";"BL";"S10";"25164.559"
"2005";"BL";"G10";"11795.824"
"2005";"BL";"G15";"7733.895"
"2005";"BL";"G20";"776.126"
"2005";"BL";"G25";"2261.622"
"2005";"SH";"S10";"6306.026"
"2005";"SH";"G10";"2763.901"
"2005";"SH";"G15";"1655.938"
"2005";"SH";"G20";"1257.546"
"2005";"SH";"G25";"293.906"
"2005";"AR";"S10";"4088.168"
"2005";"AR";"G10";"1168.655"
"2005";"AR";"G15";"1669.596"
"2005";"AR";"G20";"276.268"
"2005";"AR";"G25";"810.492"
"2005";"AI";"S10";"1278.008"
"2005";"AI";"G10";"865.926"
"2005";"AI";"G15";"102.999"
"2005";"AI";"G20";"17.478"
"2005";"AI";"G25";"282.128"
"2005";"SG";"S10";"37839.489"
"2005";"SG";"G10";"12312.497"
"2005";"SG";"G15";"7562.755"
"2005";"SG";"G20";"5282.338"
"2005";"SG";"G25";"11480.789"
"2005";"GR";"S10";"20470.515"
"2005";"GR";"G10";"9925.839"
"2005";"GR";"G15";"6665.946"
"2005";"GR";"G20";"213.566"
"2005";"GR";"G25";"2918.823"
"2005";"AG";"S10";"56202.682"
"2005";"AG";"G10";"13339.138"
"2005";"AG";"G15";"12606.974"
"2005";"AG";"G20";"17437.977"
"2005";"AG";"G25";"10316.203"
"2005";"TG";"S10";"22560.986"
"2005";"TG";"G10";"11363.105"
"2005";"TG";"G15";"4672.794"
"2005";"TG";"G20";"226.306"
"2005";"TG";"G25";"5612.622"
"2005";"TI";"S10";"28333.797"
"2005";"TI";"G10";"5408.009"
"2005";"TI";"G15";"12291.008"
"2005";"TI";"G20";"163.896"
"2005";"TI";"G25";"5278.985"
"2005";"VD";"S10";"44283.267"
"2005";"VD";"G10";"16185.275"
"2005";"VD";"G15";"19892.997"
"2005";"VD";"G20";"1018.838"
"2005";"VD";"G25";"3480.261"
"2005";"VS";"S10";"19670.216"
"2005";"VS";"G10";"5016.591"
"2005";"VS";"G15";"8244.682"
"2005";"VS";"G20";"162.3"
"2005";"VS";"G25";"5545.965"
"2005";"NE";"S10";"9049.355"
"2005";"NE";"G10";"3443.65"
"2005";"NE";"G15";"4016.048"
"2005";"NE";"G20";"41.52"
"2005";"NE";"G25";"911.168"
"2005";"GE";"S10";"27662.002"
"2005";"GE";"G10";"6230.949"
"2005";"GE";"G15";"16079.236"
"2005";"GE";"G20";"37.773"
"2005";"GE";"G25";"1539.19"
"2005";"JU";"S10";"4953.169"
"2005";"JU";"G10";"1234.032"
"2005";"JU";"G15";"1534.181"
"2005";"JU";"G20";"613.569"
"2005";"JU";"G25";"1443.188"
"2006";"CHE1";"S10";"642482.409"
"2006";"CHE1";"G10";"216954.016"
"2006";"CHE1";"G15";"222131.014"
"2006";"CHE1";"G20";"67825.503"
"2006";"CHE1";"G25";"88153.019"
"2006";"ZH";"S10";"123054.022"
"2006";"ZH";"G10";"51298.63"
"2006";"ZH";"G15";"50233.315"
"2006";"ZH";"G20";"8444.762"
"2006";"ZH";"G25";"3061.968"
"2006";"BE";"S10";"71803.512"
"2006";"BE";"G10";"13235.367"
"2006";"BE";"G15";"27925.739"
"2006";"BE";"G20";"17272.041"
"2006";"BE";"G25";"7316.526"
"2006";"LU";"S10";"29253.008"
"2006";"LU";"G10";"11792.764"
"2006";"LU";"G15";"7241.594"
"2006";"LU";"G20";"4100.757"
"2006";"LU";"G25";"4946.155"
"2006";"UR";"S10";"2808.705"
"2006";"UR";"G10";"1562.44"
"2006";"UR";"G15";"512.887"
"2006";"UR";"G20";"52.684"
"2006";"UR";"G25";"660.001"
"2006";"SZ";"S10";"14887.54"
"2006";"SZ";"G10";"8095.08"
